date;time;height;x;y;temp
03.01.2015;15:07:42.15;20,5;-60,96;-30,98;-17,0
03.01.2015;15:17:55.32;20,5;-76,16;-29,14;-17,0
03.01.2015;15:18:03.62;20,5;-23,16;-3,23;-17,0
03.01.2015;15:28:12.88;20,5;-35,53;-29,60;-17,0
03.01.2015;15:28:25.02;20,5;16,60;-7,83;-17,0
03.01.2015;15:38:34.32;20,5;-2,56;-21,78;-17,0
03.01.2015;15:38:46.49;20,5;8,09;-24,39;-17,0
03.01.2015;15:48:55.82;20,5;-63,66;7,62;-17,0
03.01.2015;15:49:04.13;20,5;13,77;-21,63;-17,0
03.01.2015;15:59:13.38;20,5;-35,10;-23,77;-17,0
03.01.2015;16:19:44.45;20,5;-22,17;-10,74;-16,5
03.01.2015;16:19:56.60;20,5;-10,52;-9,97;-16,5
03.01.2015;16:30:05.88;20,5;-48,03;-15,65;-16,5
03.01.2015;16:30:18.02;20,5;-30,70;24,53;-16,5
